Player's Name,Run,Ball,Strike Rate,4's,6's,Ct_St,Matches Played,Age
A Bains ,0,0,0,0,0,0,0,0
AB de Villiers,111,119,93.27731092,7,0,2,7,26
Aditya Tare ,50,36,138.8888889,5,3,0,7,22
Ajinkya Rahane,0,0,0,0,0,0,0,0
Ambati Rayudu,356,246,144.7154472,34,13,3.5,14,24
Anmolpreet Singh,0,0,0,0,0,0,0,0
Aryaman Birla,0,0,0,0,0,0,0,0
Chris Gayle,292,184,158.6956522,30,16,0,9,30
Chris Lynn,0,0,0,0,0,0,0,0
Colin Munro,0,0,0,0,0,0,0,0
D Padikkal,0,0,0,0,0,0,0,0
David Miller,0,0,0,0,0,0,0,0
David Warner,282,191,147.6439791,27,14,1,11,23
Deepak Hooda,0,0,0,0,0,0,0,0
Dhruv Shorey,0,0,0,0,0,0,0,0
Dinesh Karthik ,278,237,117.2995781,26,6,4.5,14,24
Evin Lewis,0,0,0,0,0,0,0,0
Faf du Plessis,0,0,0,0,0,0,0,0
H Klaasen ,0,0,0,0,0,0,0,0
Hanuma Vihari,0,0,0,0,0,0,0,0
Himmat Singh,0,0,0,0,0,0,0,0
Ishan Kishan ,0,0,0,0,0,0,0,0
J Bairstow ,0,0,0,0,0,0,0,0
Joe Denly,0,0,0,0,0,0,0,0
Jos Buttler ,0,0,0,0,0,0,0,0
Kane Williamson,0,0,0,0,0,0,0,0
Karun Nair,0,0,0,0,0,0,0,0
Lokesh Rahul ,0,0,0,0,0,0,0,0
M Vijay,0,0,0,0,0,0,0,0
Manan Vohra,0,0,0,0,0,0,0,0
Mandeep Singh,4,11,36.36363636,0,0,0,3,0
Manish Pandey,249,226,110.1769912,27,7,0.5,13,20
Martin Guptill,0,0,0,0,0,0,0,0
Mayank Agarwal,0,0,0,0,0,0,0,0
MS Dhoni,287,210,136.6666667,24,9,3.8,13,28
N Jagadeesan ,0,0,0,0,0,0,0,0
N Pooran ,0,0,0,0,0,0,0,0
Nikhil Naik ,0,0,0,0,0,0,0,0
Parthiv Patel ,72,79,91.13924051,6,2,0,4,25
Prashant Chopra,0,0,0,0,0,0,0,0
Prithvi Shaw,0,0,0,0,0,0,0,0
Q de Kock ,0,0,0,0,0,0,0,0
R Gaikwad,0,0,0,0,0,0,0,0
Rahul Tripathi,0,0,0,0,0,0,0,0
Ricky Bhui,0,0,0,0,0,0,0,0
Rinku Singh,0,0,0,0,0,0,0,0
Rishabh Pant ,0,0,0,0,0,0,0,0
Robin Uthappa,376,218,172.4770642,20,28,3.5,16,24
Rohit Sharma,404,302,133.7748344,36,14,0.5,16,23
S Goswami ,0,0,0,0,0,0,0,0
Sam Billings ,0,0,0,0,0,0,0,0
Sanju Samson ,0,0,0,0,0,0,0,0
Sarfaraz Khan,0,0,0,0,0,0,0,0
Shikhar Dhawan,191,170,112.3529412,23,3,0,10,24
Shimron Hetmyer,0,0,0,0,0,0,0,0
Shreyas Iyer,0,0,0,0,0,0,0,0
Shubman Gill,0,0,0,0,0,0,0,0
Siddhesh Lad,0,0,0,0,0,0,0,0
Simran Singh ,0,0,0,0,0,0,0,0
Steven Smith,0,0,0,0,0,0,0,0
Suresh Raina,524,365,143.5616438,46,22,2,16,23
Suryakumar Yadav,0,0,0,0,0,0,0,0
Virat Kohli,307,212,144.8113208,26,12,2,16,21
W Saha ,0,0,0,0,0,0,0,0
Yuvraj Singh,255,199,128.1407035,20,14,0,14,28
