Score,Player's Name,Balls Bowled,Runs Scored,Economy,Wickets,Ct_St,Matches Played
0,Adam Milne,0,0,0,0,0,0
99,Amit Mishra,318,363,6.849056604,17,2.5,14
0,Andrew Tye,0,0,0,0,0,0
0,Ankit Rajpoot,0,0,0,0,0,0
0,Anrich Nortje,0,0,0,0,0,0
0,Arshdeep Singh,0,0,0,0,0,0
0,Avesh Khan,0,0,0,0,0,0
0,B Ayyappa,0,0,0,0,0,0
0,Barinder Sran,0,0,0,0,0,0
0,Basil Thampi,0,0,0,0,0,0
0,Bhuvneshwar Kumar,0,0,0,0,0,0
0,Billy Stanlake,0,0,0,0,0,0
0,Deepak Chahar,0,0,0,0,0,0
94,Dhawal Kulkarni,24,40,10,1,0,1
100,Harbhajan Singh,321,377,7.046728972,17,0.5,15
0,Hardus Vilojen,0,0,0,0,0,0
0,Harry Gurney,0,0,0,0,0,0
0,Imran Tahir,0,0,0,0,0,0
0,Ish Sodhi,0,0,0,0,0,0
96,Ishant Sharma,150,236,9.44,7,0,7
0,Jason Behrendorff,0,0,0,0,0,0
0,Jasprit Bumrah,0,0,0,0,0,0
0,Jayant Yadav,0,0,0,0,0,0
0,Jaydev Unadkat,0,0,0,0,0,0
0,Kagiso Rabada,0,0,0,0,0,0
0,Kamlesh Nagarkoti,0,0,0,0,0,0
0,Karn Sharma,0,0,0,0,0,0
0,Khaleel Ahmed,0,0,0,0,0,0
0,KM Asif,0,0,0,0,0,0
0,Kuldeep Yadav,0,0,0,0,0,0
0,Kulwant Khejroliya,0,0,0,0,0,0
98,Lasith Malinga,294,344,7.020408163,15,1.5,13
0,Lockie Ferguson,0,0,0,0,0,0
0,Lungi Ngidi,0,0,0,0,0,0
0,M Ashwin,0,0,0,0,0,0
0,M Lomror,0,0,0,0,0,0
0,M Markande,0,0,0,0,0,0
0,M McClenaghan,0,0,0,0,0,0
0,Mitchell Santner,0,0,0,0,0,0
0,Mohammed Shami,0,0,0,0,0,0
0,Mohammed Siraj,0,0,0,0,0,0
0,Mohit Sharma,0,0,0,0,0,0
0,Monu Kumar,0,0,0,0,0,0
0,Mujeeb,0,0,0,0,0,0
0,N Coulter-Nile,0,0,0,0,0,0
0,Nathu Singh,0,0,0,0,0,0
0,Navdeep Saini,0,0,0,0,0,0
0,Oshane Thomas,0,0,0,0,0,0
97,Piyush Chawla,294,367,7.489795918,12,2,14
0,Prasidh Krishna,0,0,0,0,0,0
0,Prithvi Raj Yarra,0,0,0,0,0,0
0,R Ashwin,0,0,0,0,0,0
0,Rahul Chahar,0,0,0,0,0,0
0,Rahul Tewatia,0,0,0,0,0,0
0,Rashid Khan,0,0,0,0,0,0
0,Rasikh Dar,0,0,0,0,0,0
0,S Lamichhane,0,0,0,0,0,0
0,S Nadeem,0,0,0,0,0,0
0,S. Midhun,0,0,0,0,0,0
0,Sandeep Sharma,0,0,0,0,0,0
0,Shardul Thakur,0,0,0,0,0,0
0,Shivam Mavi,0,0,0,0,0,0
0,Siddarth Kaul,0,0,0,0,0,0
0,T Natarajan,0,0,0,0,0,0
0,Tim Southee,0,0,0,0,0,0
0,Trent Boult,0,0,0,0,0,0
95,Umesh Yadav,144,184,7.666666667,6,0,7
0,Varun Aaron,0,0,0,0,0,0
0,Y Chahal,0,0,0,0,0,0
